iter	Passed	Remaining
402	10522	41698
403	10544	41656
404	10570	41630
405	10593	41589
406	10619	41565
407	10642	41526
408	10665	41489
409	10689	41453
410	10712	41416
411	10735	41377
412	10758	41340
413	10781	41303
414	10808	41281
415	10831	41242
416	10853	41202
417	10876	41164
418	10898	41124
419	10921	41085
420	10944	41048
421	10968	41013
422	10994	40990
423	11021	40966
424	11052	40957
425	11076	40925
426	11099	40889
427	11121	40849
428	11145	40814
429	11168	40777
430	11191	40742
431	11214	40706
432	11239	40676
433	11262	40639
434	11285	40603
435	11312	40580
436	11337	40551
437	11364	40527
438	11387	40491
439	11411	40458
440	11436	40428
441	11464	40410
442	11493	40397
443	11516	40361
444	11542	40334
445	11571	40318
446	11602	40310
447	11630	40290
448	11655	40263
449	11678	40226
450	11701	40191
451	11727	40163
452	11751	40131
453	11775	40099
454	11799	40067
455	11822	40031
456	11850	40010
457	11877	39989
458	11901	39957
459	11926	39926
460	11950	39894
461	11973	39858
462	11997	39827
463	12020	39793
464	12046	39767
465	12073	39743
466	12096	39708
467	12122	39684
468	12147	39655
469	12171	39622
470	12195	39589
471	12218	39555
472	12243	39527
473	12270	39504
474	12296	39478
475	12320	39445
476	12343	39410
477	12368	39382
478	12393	39355
479	12418	39324
480	12441	39289
481	12468	39267
482	12492	39235
483	12516	39205
484	12543	39182
485	12570	39161
486	12598	39141
487	12622	39108
488	12647	39080
489	12672	39052
490	12698	39025
491	12725	39004
492	12750	38976
493	12779	38958
494	12802	38924
495	12826	38894
496	12852	38868
497	12877	38838
498	12902	38811
499	12929	38787
500	12954	38759
501	12979	38731
502	13003	38700
503	13033	38688
504	13060	38664
505	13085	38636
506	13112	38613
507	13136	38582
508	13161	38552
509	13185	38521
510	13209	38490
511	13233	38459
512	13257	38428
513	13281	38396
514	13310	38381
515	13334	38350
516	13360	38325
517	13384	38292
518	13411	38269
519	13438	38248
520	13463	38219
521	13490	38198
522	13515	38168
523	13541	38145
524	13567	38118
525	13595	38098
526	13620	38071
527	13647	38047
528	13670	38014
529	13694	37983
530	13720	37956
531	13743	37923
532	13767	37892
533	13791	37861
534	13821	37848
535	13855	37843
536	13889	37841
537	13923	37837
538	13959	37839
539	13986	37816
540	14012	37789
541	14038	37763
542	14061	37729
543	14084	37696
544	14108	37665
545	14136	37644
546	14171	37643
547	14199	37624
548	14223	37592
549	14249	37567
550	14272	37534
551	14301	37516
552	14328	37492
553	14353	37463
554	14376	37429
555	14400	37400
556	14425	37372
557	14450	37342
558	14473	37311
559	14496	37275
560	14519	37242
561	14544	37214
562	14568	37185
563	14596	37164
564	14621	37135
565	14643	37100
566	14671	37080
567	14694	37046
568	14721	37024
569	14749	37003
570	14773	36972
571	14795	36938
572	14819	36905
573	14841	36871
574	14865	36840
575	14889	36810
576	14916	36786
577	14938	36752
578	14960	36717
579	14984	36685
580	15007	36653
581	15033	36627
582	15060	36606
583	15085	36577
584	15111	36552
585	15141	36534
586	15165	36505
587	15188	36473
588	15212	36443
589	15239	36420
590	15262	36387
591	15288	36361
592	15314	36337
593	15341	36313
594	15368	36289
595	15391	36258
596	15414	36225
597	15441	36202
598	15464	36169
599	15489	36141
600	15513	36112
601	15537	36082
602	15561	36051
603	15585	36021
604	15607	35987
605	15630	35955
606	15652	35921
607	15679	35897
608	15702	35865
609	15727	35838
610	15753	35813
611	15776	35780
612	15799	35749
613	15822	35716
614	15848	35690
615	15871	35659
616	15897	35633
617	15921	35603
618	15948	35581
619	15978	35565
620	16003	35537
621	16026	35505
622	16053	35482
623	16078	35455
624	16106	35433
625	16130	35404
626	16157	35380
627	16185	35361
628	16208	35328
629	16233	35302
630	16258	35274
631	16282	35245
632	16305	35213
633	16329	35183
634	16351	35150
635	16375	35120
636	16400	35091
637	16424	35063
638	16449	35036
639	16480	35022
640	16503	34990
641	16531	34967
642	16553	34935
643	16578	34907
644	16606	34887
645	16632	34862
646	16657	34833
647	16683	34809
648	16710	34785
649	16733	34755
650	16757	34725
651	16779	34692
652	16802	34660
653	16825	34629
654	16849	34599
655	16876	34575
656	16900	34547
657	16927	34522
658	16953	34498
659	16978	34470
660	17007	34451
661	17033	34426
662	17056	34395
663	17079	34364
664	17101	34332
665	17129	34309
666	17153	34281
667	17179	34256
668	17202	34224
669	17231	34205
670	17254	34173
671	17276	34142
672	17299	34109
673	17325	34086
674	17348	34054
675	17374	34028
676	17398	33999
677	17421	33970
678	17444	33938
679	17470	33912
680	17492	33881
681	17516	33851
682	17539	33821
683	17566	33797
684	17590	33767
685	17614	33739
686	17638	33711
687	17662	33681
688	17689	33658
689	17712	33627
690	17739	33604
691	17763	33575
692	17785	33544
693	17811	33518
694	17834	33487
695	17861	33463
696	17887	33439
697	17911	33410
698	17936	33384
699	17960	33354
700	17987	33331
701	18011	33302
702	18034	33273
703	18062	33251
704	18088	33226
705	18112	33198
706	18135	33167
707	18157	33135
708	18180	33105
709	18203	33073
710	18226	33043
711	18251	33016
712	18274	32986
713	18299	32960
714	18323	32931
715	18348	32904
716	18371	32873
717	18395	32845
718	18420	32819
719	18447	32794
720	18472	32768
721	18495	32738
722	18520	32711
723	18545	32686
724	18570	32658
725	18594	32630
726	18621	32606
727	18645	32578
728	18669	32550
729	18692	32519
730	18714	32488
731	18737	32457
732	18759	32425
733	18786	32403
734	18812	32377
735	18842	32360
736	18866	32332
737	18891	32305
738	18919	32282
739	18942	32253
740	18971	32234
741	18998	32210
742	19023	32182
743	19045	32152
744	19072	32128
745	19095	32099
746	19118	32069
747	19141	32039
748	19165	32011
749	19194	31991
750	19219	31964
751	19245	31939
752	19269	31910
753	19292	31881
